ef_class,events,target_known,ncei_accepted,footprint_accepted,ncei_unresolved_candidates,footprint_unresolved_candidates,county_context_missing,start_longitude_missing,start_latitude_missing,month_missing,hour_utc_missing,radar_tvs_count_missing,radar_tvs_count_positive,radar_mda_count_missing,radar_mda_count_positive,radar_structure_count_missing,radar_structure_count_positive,radar_max_shear_per_s_missing,radar_max_velocity_difference_knots_missing,radar_max_rotation_velocity_knots_missing,radar_max_reflectivity_dbz_missing,radar_max_vil_kg_m2_missing,warning_active_tornado_count_missing,warning_active_tornado_count_positive,warning_active_severe_count_missing,warning_active_severe_count_positive,warning_tornado_lead_minutes_missing,post_land_developed_fraction_missing,post_land_forest_fraction_missing,post_land_cropland_fraction_missing,post_impervious_mean_percent_missing,post_nlcd_valid_fraction_missing,nlcd_zero_pixel_centers,nlcd_no_valid_class_pixels,area_method_fixed_buffer_of_reported_endpoint_track,area_method_union_of_accepted_footprints,nlcd_complete,nlcd_unavailable,nlcd_failed,nlcd_budget_exceeded,nlcd_not_requested,radar_complete,radar_unavailable,radar_failed,radar_budget_exceeded,radar_not_requested,warnings_complete,warnings_unavailable,warnings_failed,warnings_budget_exceeded,warnings_not_requested
0,9197,9197,8377,6530,888,1277,27,0,0,0,0,0,2873,0,6075,0,8375,6324,6324,3122,822,822,0,4764,0,3690,4433,226,226,226,226,226,211,211,2667,6530,9182,15,0,0,0,9197,0,0,0,0,9197,0,0,0,0
1,7149,7149,6507,5401,926,1677,7,0,0,0,0,0,2545,0,5759,0,6685,4604,4604,1390,464,464,0,4083,0,3793,3067,26,26,26,26,26,24,24,1748,5401,7147,2,0,0,0,7149,0,0,0,0,7149,0,0,0,0
2,1776,1776,1631,1331,308,553,0,0,0,0,0,0,738,0,1593,0,1695,1038,1038,183,81,81,0,1276,0,868,500,1,1,1,1,1,1,1,445,1331,1776,0,0,0,0,1776,0,0,0,0,1776,0,0,0,0
3,426,426,401,324,105,182,0,0,0,0,0,0,217,0,397,0,406,209,209,29,20,20,0,356,0,161,70,0,0,0,0,0,0,0,102,324,426,0,0,0,0,426,0,0,0,0,426,0,0,0,0
4,83,83,73,52,40,53,0,0,0,0,0,0,43,0,79,0,80,40,40,4,3,3,0,76,0,26,7,0,0,0,0,0,0,0,31,52,83,0,0,0,0,83,0,0,0,0,83,0,0,0,0
5,8,8,7,3,5,6,0,0,0,0,0,0,4,0,8,0,7,4,4,0,1,1,0,8,0,1,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0
unknown,1525,0,1317,847,207,134,0,0,0,0,0,0,484,0,1017,0,1390,1041,1041,508,135,135,0,783,0,636,742,64,64,64,63,63,63,64,678,847,1525,0,0,0,0,1525,0,0,0,0,1525,0,0,0,0
