state,events,target_known,ncei_accepted,footprint_accepted,ncei_unresolved_candidates,footprint_unresolved_candidates,county_context_missing,start_longitude_missing,start_latitude_missing,month_missing,hour_utc_missing,radar_tvs_count_missing,radar_tvs_count_positive,radar_mda_count_missing,radar_mda_count_positive,radar_structure_count_missing,radar_structure_count_positive,radar_max_shear_per_s_missing,radar_max_velocity_difference_knots_missing,radar_max_rotation_velocity_knots_missing,radar_max_reflectivity_dbz_missing,radar_max_vil_kg_m2_missing,warning_active_tornado_count_missing,warning_active_tornado_count_positive,warning_active_severe_count_missing,warning_active_severe_count_positive,warning_tornado_lead_minutes_missing,post_land_developed_fraction_missing,post_land_forest_fraction_missing,post_land_cropland_fraction_missing,post_impervious_mean_percent_missing,post_nlcd_valid_fraction_missing,nlcd_zero_pixel_centers,nlcd_no_valid_class_pixels,area_method_fixed_buffer_of_reported_endpoint_track,area_method_union_of_accepted_footprints,nlcd_complete,nlcd_unavailable,nlcd_failed,nlcd_budget_exceeded,nlcd_not_requested,radar_complete,radar_unavailable,radar_failed,radar_budget_exceeded,radar_not_requested,warnings_complete,warnings_unavailable,warnings_failed,warnings_budget_exceeded,warnings_not_requested
MO,808,796,736,624,87,142,0,0,0,0,0,0,197,0,636,0,762,611,611,172,46,46,0,491,0,430,317,14,14,14,14,14,14,14,184,624,808,0,0,0,0,808,0,0,0,0,808,0,0,0,0
MS,1117,1110,1014,899,142,203,0,0,0,0,0,0,357,0,866,0,1052,760,760,251,65,65,0,781,0,515,337,2,2,2,2,2,2,2,218,899,1117,0,0,0,0,1117,0,0,0,0,1117,0,0,0,0
MT,77,71,75,40,3,3,0,0,0,0,0,0,7,0,40,0,63,70,70,37,14,14,0,22,0,37,55,0,0,0,0,0,0,0,37,40,77,0,0,0,0,77,0,0,0,0,77,0,0,0,0
NC,456,452,438,370,36,67,0,0,0,0,0,0,162,0,281,0,419,294,294,175,37,37,0,292,0,130,164,6,6,6,6,6,6,6,86,370,456,0,0,0,0,456,0,0,0,0,456,0,0,0,0
ND,441,369,414,334,36,44,0,0,0,0,0,0,115,0,260,0,386,326,326,181,55,55,0,292,0,170,149,11,11,11,11,11,11,11,107,334,441,0,0,0,0,441,0,0,0,0,441,0,0,0,0
NE,711,595,630,411,104,133,0,0,0,0,0,0,261,0,529,0,645,450,450,182,66,66,0,392,0,373,319,20,20,20,20,20,20,20,300,411,711,0,0,0,0,711,0,0,0,0,711,0,0,0,0
NH,18,18,18,13,0,2,0,0,0,0,0,0,1,0,8,0,16,17,17,10,2,2,0,5,0,8,13,0,0,0,0,0,0,0,5,13,18,0,0,0,0,18,0,0,0,0,18,0,0,0,0
NJ,53,53,53,49,2,4,0,0,0,0,0,0,38,0,43,0,49,15,15,10,4,4,0,21,0,28,32,0,0,0,0,0,0,0,4,49,53,0,0,0,0,53,0,0,0,0,53,0,0,0,0
NM,157,116,144,128,14,10,0,0,0,0,0,0,13,0,86,0,134,144,144,71,23,23,0,41,0,74,116,3,3,3,3,3,3,3,29,128,157,0,0,0,0,157,0,0,0,0,157,0,0,0,0
NV,20,19,19,11,2,2,0,0,0,0,0,0,1,0,2,0,13,19,19,18,7,7,0,0,0,1,20,0,0,0,0,0,0,0,9,11,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0
NY,171,166,167,143,5,13,0,0,0,0,0,0,39,0,105,0,155,132,132,66,16,16,0,80,0,96,91,1,1,1,1,1,1,1,28,143,171,0,0,0,0,171,0,0,0,0,171,0,0,0,0
OH,515,508,466,401,55,103,0,0,0,0,0,0,260,0,369,0,484,255,255,146,31,31,0,278,0,258,237,8,8,8,8,8,8,8,114,401,515,0,0,0,0,515,0,0,0,0,515,0,0,0,0
OK,1310,1137,1121,633,291,390,0,0,0,0,0,0,728,0,1181,0,1228,582,582,129,82,82,0,897,0,775,413,12,12,12,12,12,12,12,677,633,1310,0,0,0,0,1310,0,0,0,0,1310,0,0,0,0
OR,36,33,35,29,0,0,0,0,0,0,0,0,3,0,4,0,17,33,33,32,19,19,0,2,0,0,34,3,3,3,3,3,3,3,7,29,36,0,0,0,0,36,0,0,0,0,36,0,0,0,0
PA,319,316,294,267,26,48,0,0,0,0,0,0,82,0,226,0,294,237,237,93,25,25,0,136,0,168,183,3,3,3,3,3,3,3,52,267,319,0,0,0,0,319,0,0,0,0,319,0,0,0,0
PR,12,12,12,9,0,1,12,0,0,0,0,0,1,0,1,0,8,11,11,11,4,4,0,0,0,0,12,12,12,12,12,12,0,0,3,9,0,12,0,0,0,12,0,0,0,0,12,0,0,0,0
RI,8,8,8,7,0,0,0,0,0,0,0,0,5,0,8,0,8,3,3,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,1,7,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0
SC,351,348,333,298,28,62,0,0,0,0,0,0,101,0,219,0,334,250,250,132,17,17,0,223,0,141,128,3,3,3,3,3,3,3,53,298,351,0,0,0,0,351,0,0,0,0,351,0,0,0,0
SD,333,300,296,203,47,70,0,0,0,0,0,0,79,0,221,0,301,254,254,112,32,32,0,176,0,177,157,11,11,11,11,11,11,11,130,203,333,0,0,0,0,333,0,0,0,0,333,0,0,0,0
TN,530,530,495,404,53,87,0,0,0,0,0,0,218,0,455,0,515,312,312,75,15,15,0,328,0,246,202,2,2,2,2,2,2,2,126,404,530,0,0,0,0,530,0,0,0,0,530,0,0,0,0
TX,1814,1572,1666,1255,207,377,0,0,0,0,0,0,740,0,1500,0,1721,1074,1074,314,93,93,0,1083,0,872,731,27,27,27,27,27,27,27,559,1255,1814,0,0,0,0,1814,0,0,0,0,1814,0,0,0,0
UT,26,17,26,18,0,0,0,0,0,0,0,0,1,0,8,0,19,25,25,18,7,7,0,1,0,5,25,5,5,5,5,5,5,5,8,18,26,0,0,0,0,26,0,0,0,0,26,0,0,0,0
VA,242,242,231,186,16,52,0,0,0,0,0,0,54,0,168,0,225,188,188,74,17,17,0,140,0,91,102,0,0,0,0,0,0,0,56,186,242,0,0,0,0,242,0,0,0,0,242,0,0,0,0
VI,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
VT,9,9,9,8,0,0,0,0,0,0,0,0,0,0,3,0,7,9,9,6,2,2,0,1,0,3,8,0,0,0,0,0,0,0,1,8,9,0,0,0,0,9,0,0,0,0,9,0,0,0,0
WA,33,32,33,19,0,0,0,0,0,0,0,0,1,0,2,0,24,32,32,31,9,9,0,1,0,1,32,1,1,1,1,1,1,1,14,19,33,0,0,0,0,33,0,0,0,0,33,0,0,0,0
WI,429,424,381,343,81,99,0,0,0,0,0,0,139,0,302,0,407,290,290,127,22,22,0,209,0,230,220,7,7,7,7,7,7,7,86,343,429,0,0,0,0,429,0,0,0,0,429,0,0,0,0
WV,51,50,50,41,2,11,0,0,0,0,0,0,16,0,35,0,45,35,35,16,6,6,0,26,0,24,25,0,0,0,0,0,0,0,10,41,51,0,0,0,0,51,0,0,0,0,51,0,0,0,0
WY,157,122,145,94,14,16,0,0,0,0,0,0,40,0,92,0,134,117,117,65,23,23,0,69,0,52,88,5,5,5,5,5,5,5,63,94,157,0,0,0,0,157,0,0,0,0,157,0,0,0,0
